144.9375 -37.8750 145.0000 -37.6875
--> footpath_id: 11508 || address: William Street between La Trobe Street and A'Beckett Street || clue_sa: West Melbourne, Residential || asset_type: Road Footway || deltaz: 1.16 || distance: 77.08 || grade1in: 66.4 || mcc_id: 1389541 || mccid_int: 21519 || rlmax: 28.91 || rlmin: 27.75 || segside: West || statusid: 2 || streetid: 1179 || street_group: 15114 || start_lat: -37.81081894 || start_lon: 144.95580532 || end_lat: -37.81166441 || end_lon: 144.95623347 || 
--> footpath_id: 12079 || address: William Street between La Trobe Street and A'Beckett Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.41 || distance: 99.70 || grade1in: 70.7 || mcc_id: 1387660 || mccid_int: 21519 || rlmax: 28.77 || rlmin: 27.36 || segside: East || statusid: 2 || streetid: 1179 || street_group: 13518 || start_lat: -37.81073633 || start_lon: 144.95608862 || end_lat: -37.81159006 || end_lon: 144.95652181 || 
--> footpath_id: 12676 || address:  || clue_sa: West Melbourne, Residential || asset_type: Road Footway || deltaz: 1.01 || distance: 32.77 || grade1in: 32.4 || mcc_id: 1467867 || mccid_int: 0 || rlmax: 28.76 || rlmin: 27.75 || segside:  || statusid: 0 || streetid: 0 || street_group: 15114 || start_lat: -37.81037436 || start_lon: 144.95489224 || end_lat: -37.81042910 || end_lon: 144.95562186 || 
--> footpath_id: 12975 || address:  || clue_sa: West Melbourne, Residential || asset_type: Road Footway || deltaz: 0.60 || distance: 23.69 || grade1in: 39.5 || mcc_id: 1467869 || mccid_int: 0 || rlmax: 29.17 || rlmin: 28.57 || segside:  || statusid: 0 || streetid: 0 || street_group: 15114 || start_lat: -37.81027823 || start_lon: 144.95506377 || end_lat: -37.80995028 || end_lon: 144.95540006 || 
--> footpath_id: 12979 || address: A'Beckett Street between Wills Street and William Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.63 || distance: 79.32 || grade1in: 48.7 || mcc_id: 1387658 || mccid_int: 22653 || rlmax: 27.39 || rlmin: 25.76 || segside: South || statusid: 2 || streetid: 368 || street_group: 13518 || start_lat: -37.81070513 || start_lon: 144.95611405 || end_lat: -37.81047271 || end_lon: 144.95699368 || 
--> footpath_id: 13239 || address:  || clue_sa: West Melbourne, Residential || asset_type: Road Footway || deltaz: 0.87 || distance: 75.68 || grade1in: 87.0 || mcc_id: 1467881 || mccid_int: 0 || rlmax: 30.18 || rlmin: 29.31 || segside:  || statusid: 0 || streetid: 0 || street_group: 15114 || start_lat: -37.80864150 || start_lon: 144.95484736 || end_lat: -37.80941669 || end_lon: 144.95516019 || 
--> footpath_id: 13488 || address: William Street between A'Beckett Street and Franklin Street || clue_sa: West Melbourne, Residential || asset_type: Road Footway || deltaz: 1.00 || distance: 61.24 || grade1in: 61.2 || mcc_id: 1389197 || mccid_int: 21529 || rlmax: 28.96 || rlmin: 27.96 || segside: West || statusid: 2 || streetid: 1179 || street_group: 15114 || start_lat: -37.80978263 || start_lon: 144.95532746 || end_lat: -37.81037307 || end_lon: 144.95563132 || 
--> footpath_id: 13516 || address: Wills Street between La Trobe Street and A'Beckett Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.67 || distance: 23.37 || grade1in: 34.9 || mcc_id: 1386648 || mccid_int: 21521 || rlmax: 26.62 || rlmin: 25.95 || segside:  || statusid: 2 || streetid: 1180 || street_group: 13518 || start_lat: -37.81047273 || start_lon: 144.95699369 || end_lat: -37.81092451 || end_lon: 144.95727099 || 
--> footpath_id: 14023 || address: Intersection of William Street and Franklin Street || clue_sa: West Melbourne, Residential || asset_type: Road Footway || deltaz: 0.62 || distance: 49.57 || grade1in: 79.9 || mcc_id: 1387931 || mccid_int: 21528 || rlmax: 29.37 || rlmin: 28.75 || segside: West || statusid: 2 || streetid: 1179 || street_group: 15114 || start_lat: -37.80978263 || start_lon: 144.95532746 || end_lat: -37.80920736 || end_lon: 144.95520069 || 
--> footpath_id: 14026 || address: A'Beckett Street between Wills Street and William Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.85 || distance: 36.87 || grade1in: 43.4 || mcc_id: 1389200 || mccid_int: 22653 || rlmax: 26.78 || rlmin: 25.93 || segside: North || statusid: 2 || streetid: 368 || street_group: 14289 || start_lat: -37.81030940 || start_lon: 144.95691903 || end_lat: -37.81043879 || end_lon: 144.95639495 || 
--> footpath_id: 14287 || address: William Street between A'Beckett Street and Franklin Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.59 || distance: 54.67 || grade1in: 92.6 || mcc_id: 1389334 || mccid_int: 21529 || rlmax: 28.54 || rlmin: 27.95 || segside: East || statusid: 2 || streetid: 1179 || street_group: 15419 || start_lat: -37.80969942 || start_lon: 144.95561289 || end_lat: -37.81028212 || end_lon: 144.95591805 || 
--> footpath_id: 14559 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 0 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 0 || streetid: 0 || street_group: 15419 || start_lat: -37.80969022 || start_lon: 144.95564438 || end_lat: -37.80950702 || end_lon: 144.95688453 || 
--> footpath_id: 14560 || address: Franklin Street between Queen Street and William Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 21527 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 2 || streetid: 644 || street_group: 15419 || start_lat: -37.80966142 || start_lon: 144.95563136 || end_lat: -37.80953603 || end_lon: 144.95744355 || 
