ID, full_names, score1, score2
15811, Sean Pham, 29, 31
21491, Audrey Barclay, 35, 22
15029, Jacky Pearson, 44, 42
11229, Carl Bowen, 22, 40
17432, Stefan Page, 31, 44
24334, Kathryn Vincent, 43, 24
29978, Dominique Mathews, 47, 23
11345, Damon Burton, 37, 32
19402, Stephen Andrew, 35, 20
19552, Jasmine Hill, 44, 24
23672, Hans Li, 38, 38
26991, Reece Davidson, 20, 36
11026, Michele Allison, 22, 42
32066, Sam Firth, 46, 46
25922, David Galea, 49, 22
13996, Josh Humphreys, 34, 42
15050, Smith Barton, 42, 30
26774, Terence Little, 34, 34
19974, Jaime McGrath, 44, 48
14046, Callum Kidd, 34, 40
10896, Casey Truong, 32, 39
14672, Faith McIntyre, 35, 36
12773, Annie Wheatley, 38, 37
21939, Martha Kane, 21, 26
18889, Rudy Berry, 28, 42
11270, Leesa Middleton, 48, 39
27116, Pieter Butler, 29, 20
22776, Dale Norton, 32, 35
20352, Teresa McArthur, 24, 41
30046, Mr Neale, 28, 32
14652, Cecilia Zhang, 41, 25
11126, Martyn Goldsmith, 23, 49
28095, Heath Evans, 41, 42
29172, Adrienne Howarth, 23, 31
27033, Jacqueline Arnold, 23, 34
25011, Cate James, 41, 35
16317, Adrian Nicholson, 27, 47
25143, Brendan Watt, 21, 38
25887, Jodi Stewart, 43, 36
18037, Shelley Hayes, 35, 47
16601, Barbara Hay, 39, 22
10410, Katie Watkins, 25, 34
10069, Phillipa Burnett, 48, 37
12922, Mr McLaughlin, 22, 37
25183, Felicity Holden, 26, 48
13672, Duane Masters, 37, 24
18401, Clayton Gilmour, 40, 23
10626, Emma Gale, 20, 26
12437, Tina Beard, 29, 48
14133, Peta Abbott, 33, 33
12583, Jake Simon, 20, 42
10521, Anthony Duff, 21, 42
13228, Beryl Barclay, 32, 47
26395, Eliza Newell, 21, 23
19867, Jonathan McKenna, 26, 21
10704, Stewart Clifford, 27, 42
22208, Rosie Bloomfield, 40, 38
11211, Glenys Dalton, 22, 20
12615, Kane Short, 34, 42
16695, Erik Lynch, 26, 44
17007, Damian Murdoch, 33, 34
24239, Caleb Jackson, 37, 32
18627, Abigail Rigby, 25, 43
17217, Rosalie Hansen, 27, 28
18420, Doug Morris, 46, 48
14406, Betty Lim, 40, 34
12911, Brad Cleary, 48, 40
22922, Rene Harris, 26, 48
10289, Mark MacDonald, 32, 36
11318, Rory Fisher, 40, 35
12141, Julian Wallis, 28, 26
15812, Daisy Chapman, 26, 41
16937, Phillip Stubbs, 31, 31
21082, Kerri McIntyre, 45, 36
11539, Luisa McPherson, 26, 38
12410, Rebekah Byrnes, 36, 38
23216, Desiree Waller, 24, 40
21632, Corey Nicholson, 25, 23
17567, Lily Galea, 21, 32
27009, Cassandra Hanson, 45, 28
20201, Ahmed Millard, 40, 44
12265, Gary Simmonds, 30, 25
22328, Cynthia Nichols, 43, 32
21263, Gareth Drummond, 20, 20
22744, Sherry Donald, 32, 44
17507, Phillip Nelson, 39, 38
16271, Eddie Healy, 43, 38
23307, Rita Henderson, 47, 41
15785, Joshua Bradshaw, 27, 36
16310, Deanna Garner, 41, 37
16833, Katherine Burke, 42, 45
23893, Murray Finn, 37, 26
18283, Margot Keating, 43, 37
10354, Tyson McDermott, 48, 28
